Obs,Hubids,Eircode,Month,TwoHrSlot,%gas,heat_mean,heat_stddev,h_pr0-1,h_pr1-10,h_pr10-20,h_pr20-30,h_pr30-40,h_pr40-50,h_pr50-60,h_pr60-70,h_pr70-80,h_pr80-90,h_pr90-99,h_pr99-100,boiler_mean,boiler_stddev,b_pr0-1,b_pr1-10,b_pr10-20,b_pr20-30,b_pr30-40,b_pr40-50,b_pr50-60,b_pr60-70,b_pr70-80,b_pr80-90,b_pr90-99,b_pr99-100
5796,60,A63,1,0,0.755521049,9.2339717,27.41697369,0.883712905,0.004658385,0.003968254,0.003623188,0.002933057,0.010697032,0.007246377,0.003623188,0.004140787,0.002415459,0.001207729,0.071773637,5.479848189,18.04471993,0.887853692,0.008109041,0.013457557,0.015010352,0.010869565,0.01863354,0.008971705,0.005693582,0.004140787,0.01984127,0.001035197,0.006383713
5804,61,A63,1,2,0.754824259,8.10970021,25.64394623,0.896623019,0.001206065,0.003101309,0.007408684,0.00172295,0.009993108,0.010165403,0.00137836,0.004824259,0.001550655,0.00068918,0.061337009,4.704548608,16.28909024,0.900241213,0.004307374,0.013094418,0.014472777,0.013266713,0.014472777,0.009820813,0.003445899,0.005685734,0.020503101,0.000172295,0.000516885
5782,60,A63,1,4,0.756485645,14.55121068,31.0368363,0.789346247,0.00328606,0.002075406,0.024904877,0.00328606,0.030093393,0.032860602,0.007955725,0.022829471,0.001383604,0.001383604,0.08059495,10.52599453,23.34990306,0.79038395,0.005534417,0.014354895,0.032687651,0.021964718,0.042718782,0.029920443,0.007263923,0.012279488,0.035800761,0.001902456,0.005188516
5795,60,A63,1,6,0.755996549,26.0283693,38.59546227,0.631233822,0.009663503,0.010526316,0.029853322,0.010008628,0.06281277,0.03244176,0.006902502,0.033822261,0.012769629,0.009836066,0.150129422,19.85201035,30.69471151,0.634167386,0.021570319,0.024158758,0.034857636,0.038308887,0.05677308,0.030888697,0.03244176,0.03244176,0.076790336,0.002415876,0.015185505
5812,60,A63,1,8,0.755677908,24.4949587,37.63116819,0.64229181,0.015657261,0.013764625,0.023743978,0.021507226,0.044390915,0.031486579,0.020991053,0.021507226,0.020818995,0.017033723,0.126806607,18.42143842,29.42019779,0.646593255,0.020646937,0.025808672,0.046283551,0.033723331,0.050584997,0.028733655,0.034927736,0.029766001,0.072608396,0.003613214,0.006710255
5821,60,A63,1,10,0.755712077,21.30740424,37.20876233,0.703659165,0.014258718,0.017694554,0.015804845,0.017522762,0.020958598,0.013227968,0.015976636,0.019756056,0.018038138,0.018897097,0.124205463,15.00577225,27.80935342,0.710015461,0.019412472,0.032468648,0.032812232,0.029376396,0.026971311,0.016663803,0.030235355,0.026455935,0.068373132,0.003092252,0.004123003
5813,60,A63,1,12,0.756236023,20.81892312,36.25291144,0.697574402,0.017202821,0.015310511,0.018579047,0.017546878,0.031825219,0.020643386,0.015654567,0.018234991,0.017030793,0.015310511,0.115086874,14.24587993,26.87910399,0.707207982,0.029072768,0.034233614,0.032169276,0.027524514,0.036814038,0.020127301,0.023567865,0.020815414,0.059005677,0.004300705,0.005160846
5813,60,A63,1,14,0.755203853,23.67822123,37.12562932,0.641665233,0.020299329,0.021331498,0.027352486,0.022707724,0.038362291,0.024944091,0.019611216,0.024944091,0.021503527,0.017718906,0.119559608,16.87798041,28.09247731,0.648890418,0.033545501,0.038706348,0.042490969,0.034577671,0.043523138,0.02408395,0.035265784,0.031309135,0.057973508,0.003784621,0.005848959
5821,60,A63,1,16,0.75502491,44.26215429,42.44733195,0.387390483,0.023879059,0.023879059,0.035389108,0.031609689,0.048273493,0.047586325,0.038996736,0.05188112,0.032468648,0.029204604,0.249441677,34.16827012,34.79029285,0.398900533,0.032125064,0.044494073,0.050163202,0.049132451,0.07593197,0.044837657,0.059439959,0.058752792,0.160797114,0.007215255,0.01820993
5812,60,A63,1,18,0.754989677,42.63664828,43.69296641,0.429972471,0.02047488,0.024432209,0.026496903,0.033379215,0.051617343,0.026152787,0.030110117,0.029938059,0.025808672,0.026152787,0.275464556,32.16493467,35.77090673,0.443220922,0.0330351,0.044907089,0.054198211,0.048864418,0.045423262,0.032002753,0.047660014,0.042154164,0.169993118,0.004473503,0.034067447
5750,60,A63,1,20,0.753043478,33.73391303,42.05925764,0.53426087,0.021043478,0.021391304,0.029043478,0.021913043,0.041043478,0.02626087,0.024869565,0.026782609,0.026086957,0.025565217,0.20173913,24.55455658,33.09877192,0.544869565,0.028173913,0.046434783,0.05373913,0.035826087,0.045565217,0.031478261,0.041565217,0.040521739,0.102086957,0.004521739,0.025217391
5806,60,A63,1,22,0.755253186,18.17545643,35.04316127,0.74526352,0.013778849,0.010334137,0.016534619,0.014812263,0.021701688,0.0125732,0.016534619,0.016534619,0.00981743,0.012228729,0.109886324,11.90335862,25.06104376,0.758181192,0.020323803,0.025663107,0.031691354,0.02359628,0.027557699,0.020151567,0.021012745,0.014467792,0.050465036,0.002066827,0.004822597
5443,61,A63,2,0,0.75748668,8.430332535,26.17195477,0.891603895,0.003490722,0.003490722,0.005879111,0.002755833,0.010288444,0.006981444,0.004041889,0.004041889,0.002388389,0.002020944,0.063016719,5.023828785,17.50494553,0.895278339,0.006797722,0.017086166,0.016902444,0.0082675,0.011023333,0.006430277,0.006062833,0.006981444,0.01745361,0.000367444,0.007348888
5435,61,A63,2,2,0.758417663,7.461674339,24.26032653,0.900459982,0.001287948,0.00275989,0.007359706,0.001839926,0.0125115,0.011959522,0.002023919,0.005519779,0.001839926,0.002023919,0.050413983,4.496724959,15.94269066,0.902299908,0.005151794,0.015087397,0.013431463,0.009567617,0.015455382,0.010303588,0.003679853,0.006807728,0.01600736,0.000183993,0.002023919
5425,61,A63,2,4,0.760184332,13.43271891,29.90914066,0.8,0.004608295,0.003870968,0.024331797,0.003870968,0.030046083,0.032995392,0.003317972,0.020460829,0.000737327,0.001290323,0.074470046,9.649732794,22.44183529,0.802211982,0.007004608,0.015852535,0.031705069,0.020645161,0.04,0.026359447,0.004976959,0.016958525,0.027465438,0.000552995,0.006267281
5447,61,A63,2,6,0.758399119,26.35803196,38.46729747,0.622360933,0.009913714,0.011566,0.032311364,0.013218285,0.054158252,0.03598311,0.010464476,0.040205618,0.015788507,0.011566,0.142463742,20.36510004,30.8822601,0.626767028,0.018542317,0.027354507,0.035065173,0.033412888,0.061318157,0.03120984,0.035615935,0.037268221,0.078575363,0.002203048,0.012667523
5452,61,A63,2,8,0.756969919,23.59220467,37.27177457,0.653888481,0.013939839,0.016874541,0.024578136,0.019442406,0.045121056,0.02732942,0.020909758,0.01889215,0.014306676,0.022743947,0.121973588,17.69273663,29.20858599,0.657373441,0.020909758,0.032831988,0.045304475,0.030264123,0.044203962,0.02219369,0.033382245,0.032281731,0.070616288,0.00348496,0.007153338
5443,61,A63,2,10,0.756935514,18.88289546,35.58279607,0.73672607,0.01249311,0.014330333,0.01414661,0.016534999,0.019474554,0.013962888,0.018188499,0.013227999,0.015065221,0.013227999,0.112621716,13.01563482,26.3844948,0.747933125,0.019290832,0.026823443,0.026272276,0.02406761,0.026455999,0.016718721,0.022046665,0.022046665,0.064302774,0.002572111,0.001469778
5441,61,A63,2,12,0.757948906,19.49933834,35.54350139,0.722661276,0.011762544,0.013784231,0.014886969,0.017827605,0.029590149,0.016173498,0.018746554,0.019481713,0.010292226,0.012681492,0.112111744,13.30854622,26.44056316,0.739018563,0.020768241,0.029222569,0.025179195,0.023341298,0.029222569,0.022789928,0.027752251,0.017827605,0.058996508,0.002389267,0.003492005
5435,61,A63,2,14,0.758049678,21.82101198,36.27179039,0.672861086,0.016375345,0.019687213,0.025206992,0.020423183,0.034774609,0.024287029,0.02023919,0.020423183,0.015087397,0.018215271,0.112419503,15.29392827,27.27532686,0.68574057,0.026678933,0.037902484,0.035142594,0.028150874,0.0425023,0.022631095,0.030358786,0.027966881,0.054093836,0.002943882,0.005887764
